NCESSCH,LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,,CONDITION
3.6E+11,3600001,JAMES A GREEN HIGH SCHOOL,36,38 SLAWSON ST,DOLGEVILLE,NY,13329,36,36043,Herkimer County,42,43.104,-74.779,46540,"Utica-Rome, NY",1,N,N,N,N,3621,36118,36049,2021-2022,,
3.6E+11,3600001,DOLGEVILLE ELEMENTARY SCHOOL,36,38 SLAWSON ST,DOLGEVILLE,NY,13329,36,36043,Herkimer County,42,43.104,-74.779,46540,"Utica-Rome, NY",1,N,N,N,N,3621,36118,36049,2021-2022,,
3.6E+11,3600001,DOLGEVILLE MIDDLE SCHOOL,36,38 SLAWSON ST,DOLGEVILLE,NY,13329,36,36043,Herkimer County,42,43.104,-74.779,46540,"Utica-Rome, NY",1,N,N,N,N,3621,36118,36049,2021-2022,,
3.6E+11,3600002,SAUQUOIT VALLEY HIGH SCHOOL,36,2601 ONEIDA ST,SAUQUOIT,NY,13456,36,36065,Oneida County,41,42.9879,-75.2545,46540,"Utica-Rome, NY",1,N,N,N,N,3622,36101,36047,2021-2022,,
3.6E+11,3600002,SAUQUOIT VALLEY ELEMENTARY SCHOOL,36,2640 SULPHUR SPRINGS RD,SAUQUOIT,NY,13456,36,36065,Oneida County,41,42.990354,-75.257125,46540,"Utica-Rome, NY",1,N,N,N,N,3622,36101,36047,2021-2022,,
3.6E+11,3600002,SAUQUOIT VALLEY MIDDLE SCHOOL,36,2648 SULPHUR SPRINGS RD,SAUQUOIT,NY,13456,36,36065,Oneida County,41,42.991732,-75.256339,46540,"Utica-Rome, NY",1,N,N,N,N,3622,36101,36047,2021-2022,,
3.6E+11,3600003,EDWARDS-KNOX ELEMENTARY SCHOOL,36,2512 COUNTY ROUTE 24,HERMON,NY,13652,36,36089,St. Lawrence County,43,44.363946,-75.201145,36300,"Ogdensburg-Massena, NY",2,N,N,N,N,3621,36117,36047,2021-2022,,
3.6E+11,3600003,EDWARDS-KNOX JUNIOR-SENIOR HIGH SCHOOL,36,2512 COUNTY ROUTE 24,HERMON,NY,13652,36,36089,St. Lawrence County,43,44.363946,-75.201145,36300,"Ogdensburg-Massena, NY",2,N,N,N,N,3621,36117,36047,2021-2022,,
3.6E+11,3600004,DRAPER MIDDLE SCHOOL,36,2070 CURRY RD,SCHENECTADY,NY,12303,36,36093,Schenectady County,21,42.770651,-73.956305,10580,"Albany-Schenectady-Troy, NY",1,104,"Albany-Schenectady, NY",N,N,3620,36111,36046,2021-2022,,
3.6E+11,3600004,MOHONASEN SENIOR HIGH SCHOOL,36,2072 CURRY RD,SCHENECTADY,NY,12303,36,36093,Schenectady County,21,42.768878,-73.956954,10580,"Albany-Schenectady-Troy, NY",1,104,"Albany-Schenectady, NY",N,N,3620,36111,36046,2021-2022,,
3.6E+11,3600004,HERMAN L BRADT ELEMENTARY SCHOOL,36,2719 HAMBURG ST,SCHENECTADY,NY,12303,36,36093,Schenectady County,21,42.7721,-73.934,10580,"Albany-Schenectady-Troy, NY",1,104,"Albany-Schenectady, NY",N,N,3620,36111,36046,2021-2022,,
3.6E+11,3600004,PINEWOOD ELEMENTARY SCHOOL,36,901 KINGS RD,SCHENECTADY,NY,12303,36,36093,Schenectady County,21,42.7639,-73.9177,10580,"Albany-Schenectady-Troy, NY",1,104,"Albany-Schenectady, NY",N,N,3620,36111,36046,2021-2022,,
3.60001E+11,3600005,BROADALBIN-PERTH JUNIOR-SENIOR HIGH SCHOOL,36,100 BRIDGE ST,BROADALBIN,NY,12025,36,36035,Fulton County,42,43.0546,-74.1888,24100,"Gloversville, NY",2,104,"Albany-Schenectady, NY",N,N,3621,36118,36049,2021-2022,,
3.60001E+11,3600005,BROADALBIN-PERTH ELEMENTARY SCHOOL,36,1870 COUNTY HWY 107,AMSTERDAM,NY,12010,36,36035,Fulton County,42,43.0178,-74.1895,24100,"Gloversville, NY",2,104,"Albany-Schenectady, NY",N,N,3621,36118,36049,2021-2022,,
3.60001E+11,3600006,CHERRY VALLEY-SPRINGFIELD CENTRAL SCHOOL,36,597 COUNTY HWY 54,CHERRY VALLEY,NY,13320,36,36077,Otsego County,42,42.8172,-74.7682,36580,"Oneonta, NY",2,N,N,N,N,3619,36102,36051,2021-2022,,
3.60001E+11,3600007,JASPER-TROUPSBURG JUNIOR-SENIOR HIGH SCHOOL,36,2661 ST RTE 248,GREENWOOD,NY,14839,36,36101,Steuben County,43,42.133095,-77.650757,18500,"Corning, NY",2,236,"Elmira-Corning, NY",N,N,3623,36148,36058,2021-2022,,
3.60001E+11,3600007,JASPER-TROUPSBURG ELEMENTARY SCHOOL,36,908 STATE RT 36,TROUPSBURG,NY,14885,36,36101,Steuben County,43,42.0458,-77.5458,18500,"Corning, NY",2,236,"Elmira-Corning, NY",N,N,3623,36148,36058,2021-2022,,
3.60001E+11,3600008,BELLPORT MIDDLE SCHOOL,36,35 KREAMER ST,BELLPORT,NY,11713,36,36103,Suffolk County,21,40.7601,-72.9419,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3601,36003,36003,2021-2022,,
3.60001E+11,3600008,BELLPORT SENIOR HIGH SCHOOL,36,205 BEAVER DAM RD,BROOKHAVEN,NY,11719,36,36103,Suffolk County,21,40.7745,-72.9229,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3601,36003,36003,2021-2022,,
3.60001E+11,3600008,BROOKHAVEN ELEMENTARY SCHOOL,36,101 FIREPLACE NECK RD,BROOKHAVEN,NY,11719,36,36103,Suffolk County,21,40.776,-72.9134,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3601,36003,36003,2021-2022,,
3.60001E+11,3600008,FRANK P LONG INTERMEDIATE SCHOOL,36,599 BROOKHAVEN AVE,BELLPORT,NY,11713,36,36103,Suffolk County,21,40.7806,-72.9394,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3601,36003,36003,2021-2022,,
3.60001E+11,3600008,KREAMER STREET ELEMENTARY SCHOOL,36,37 KREAMER ST,BELLPORT,NY,11713,36,36103,Suffolk County,21,40.7605,-72.9436,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3601,36003,36003,2021-2022,,
3.60001E+11,3600008,VERNE W CRITZ ELEMENTARY SCHOOL,36,185 DUNTON AVE,EAST PATCHOGUE,NY,11772,36,36103,Suffolk County,21,40.763,-72.9627,35620,"New York-Newark-Jersey City, NY-NJ-PA",1,408,"New York-Newark, NY-NJ-CT-PA",N,N,3601,36003,36003,2021-2022,,
3.60001E+11,3600009,MORRISONVILLE ELEMENTARY SCHOOL,36,47 SAND RD,MORRISONVILLE,NY,12962,36,36019,Clinton County,32,44.6911,-73.5716,38460,"Plattsburgh, NY",2,N,N,N,N,3621,36115,36045,2021-2022,,
3.60001E+11,3600009,SARANAC ELEMENTARY SCHOOL,36,18 PICKETTS CRNRS RD,SARANAC,NY,12981,36,36019,Clinton County,42,44.6633,-73.7311,38460,"Plattsburgh, NY",2,N,N,N,N,3621,36115,36045,2021-2022,,
3.60001E+11,3600009,SARANAC HIGH SCHOOL,36,60 PICKETTS CRNRS RD,SARANAC,NY,12981,36,36019,Clinton County,42,44.666,-73.73,38460,"Plattsburgh, NY",2,N,N,N,N,3621,36115,36045,2021-2022,,
3.60001E+11,3600009,SARANAC MIDDLE SCHOOL,36,70 PICKETTS CRNRS RD,SARANAC,NY,12981,36,36019,Clinton County,42,44.6665,-73.7297,38460,"Plattsburgh, NY",2,N,N,N,N,3621,36115,36045,2021-2022,,
3.60001E+11,3600010,WILLIAM H GOLDING MIDDLE SCHOOL,36,193 GOLDING DR,COBLESKILL,NY,12043,36,36095,Schoharie County,32,42.6803,-74.4949,10580,"Albany-Schenectady-Troy, NY",1,104,"Albany-Schenectady, NY",N,N,3619,36102,36051,2021-2022,,
3.60001E+11,3600010,GEORGE D RYDER ELEMENTARY SCHOOL,36,143 GOLDING DR,COBLESKILL,NY,12043,36,36095,Schoharie County,32,42.6794,-74.499,10580,"Albany-Schenectady-Troy, NY",1,104,"Albany-Schenectady, NY",N,N,3619,36102,36051,2021-2022,,
3.60001E+11,3600010,COBLESKILL-RICHMONDVILLE HIGH SCHOOL,36,1353 STATE RT 7,RICHMONDVILLE,NY,12149,36,36095,Schoharie County,41,42.6526,-74.5281,10580,"Albany-Schenectady-Troy, NY",1,104,"Albany-Schenectady, NY",N,N,3619,36102,36051,2021-2022,,
3.60001E+11,3600010,JOSEPH B RADEZ ELEMENTARY SCHOOL,36,319 MAIN ST,RICHMONDVILLE,NY,12149,36,36095,Schoharie County,32,42.6356,-74.5603,10580,"Albany-Schenectady-Troy, NY",1,104,"Albany-Schenectady, NY",N,N,3619,36102,36051,2021-2022,,
3.60001E+11,3600011,WAYLAND-COHOCTON HIGH SCHOOL,36,2350 RT 63,WAYLAND,NY,14572,36,36101,Steuben County,42,42.563399,-77.600453,18500,"Corning, NY",2,236,"Elmira-Corning, NY",N,N,3623,36133,36058,2021-2022,,
3.60001E+11,3600011,WAYLAND ELEMENTARY SCHOOL,36,2350 RT 63,WAYLAND,NY,14572,36,36101,Steuben County,42,42.563399,-77.600453,18500,"Corning, NY",2,236,"Elmira-Corning, NY",N,N,3623,36133,36058,2021-2022,,
3.60001E+11,3600011,WAYLAND-COHOCTON MIDDLE SCHOOL,36,2350 RT 63,WAYLAND,NY,14572,36,36101,Steuben County,42,42.563399,-77.600453,18500,"Corning, NY",2,236,"Elmira-Corning, NY",N,N,3623,36133,36058,2021-2022,,
3.60001E+11,3600011,COHOCTON ELEMENTARY SCHOOL,36,30 PARK AVE,COHOCTON,NY,14826,36,36101,Steuben County,42,42.497401,-77.500348,18500,"Corning, NY",2,236,"Elmira-Corning, NY",N,N,3623,36133,36058,2021-2022,,
3.60001E+11,3600012,BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL,36,100 SCHOOL ST,BOLIVAR,NY,14715,36,36003,Allegany County,42,42.066095,-78.160184,N,N,0,N,N,N,N,3623,36148,36057,2021-2022,,
3.60001E+11,3600012,BOLIVAR-RICHBURG ELEMENTARY SCHOOL,36,211 MAIN ST,RICHBURG,NY,14774,36,36003,Allegany County,42,42.088707,-78.153655,N,N,0,N,N,N,N,3623,36148,36057,2021-2022,,
3.60001E+11,3600012,BOLIVAR-RICHBURG PRE-K PROGRAM,36,422 MAIN ST,BOLIVAR,NY,14715,36,36003,Allegany County,42,42.064867,-78.167659,N,N,0,N,N,N,N,3623,36148,36057,2021-2022,,
3.60001E+11,3600013,DURHAMVILLE SCHOOL,36,5462 MAIN ST,DURHAMVILLE,NY,13054,36,36065,Oneida County,32,43.1277,-75.6765,46540,"Utica-Rome, NY",1,N,N,N,N,3622,36117,36047,2021-2022,,
3.60001E+11,3600013,NORTH BROAD STREET SCHOOL,36,230 N BROAD ST,ONEIDA,NY,13421,36,36053,Madison County,32,43.0981,-75.6559,45060,"Syracuse, NY",1,532,"Syracuse-Auburn, NY",N,N,3622,36121,36053,2021-2022,,
3.60001E+11,3600013,SENECA STREET SCHOOL,36,436 SENECA ST,ONEIDA,NY,13421,36,36053,Madison County,32,43.0858,-75.6534,45060,"Syracuse, NY",1,532,"Syracuse-Auburn, NY",N,N,3622,36121,36053,2021-2022,,
3.60001E+11,3600013,W F PRIOR ELEMENTARY SCHOOL,36,205 EAST AVE,ONEIDA,NY,13421,36,36053,Madison County,32,43.0907,-75.6461,45060,"Syracuse, NY",1,532,"Syracuse-Auburn, NY",N,N,3622,36121,36053,2021-2022,,
3.60001E+11,3600013,OTTO L SHORTELL MIDDLE SCHOOL,36,MARKELL DR,WAMPSVILLE,NY,13163,36,36053,Madison County,32,43.0804,-75.7058,45060,"Syracuse, NY",1,532,"Syracuse-Auburn, NY",N,N,3622,36121,36053,2021-2022,,
3.60001E+11,3600013,ONEIDA SENIOR HIGH SCHOOL,36,560 SENECA ST,ONEIDA,NY,13421,36,36053,Madison County,32,43.0809,-75.6539,45060,"Syracuse, NY",1,532,"Syracuse-Auburn, NY",N,N,3622,36121,36053,2021-2022,,
3.60001E+11,3600014,WATERLOO HIGH SCHOOL,36,96 STARK ST,WATERLOO,NY,13165,36,36099,Seneca County,32,42.9135,-76.87,42900,"Seneca Falls, NY",2,464,"Rochester-Batavia-Seneca Falls, NY",N,N,3623,36131,36054,2021-2022,,
3.60001E+11,3600014,LA FAYETTE SCHOOL,36,71 INSLEE ST,WATERLOO,NY,13165,36,36099,Seneca County,32,42.9081,-76.8516,42900,"Seneca Falls, NY",2,464,"Rochester-Batavia-Seneca Falls, NY",N,N,3623,36131,36054,2021-2022,,
3.60001E+11,3600014,WATERLOO MIDDLE SCHOOL,36,65 CENTER ST,WATERLOO,NY,13165,36,36099,Seneca County,32,42.9127,-76.8696,42900,"Seneca Falls, NY",2,464,"Rochester-Batavia-Seneca Falls, NY",N,N,3623,36131,36054,2021-2022,,
3.60001E+11,3600014,SKOI-YASE SCHOOL,36,65 FAYETTE ST,WATERLOO,NY,13165,36,36099,Seneca County,32,42.8959,-76.8625,42900,"Seneca Falls, NY",2,464,"Rochester-Batavia-Seneca Falls, NY",N,N,3623,36131,36054,2021-2022,,
3.60002E+11,3600015,ALLEGANY-LIMESTONE ELEMENTARY SCHOOL,36,120 MAPLE AVE,ALLEGANY,NY,14706,36,36009,Cattaraugus County,33,42.0952,-78.4915,36460,"Olean, NY",2,160,"Buffalo-Cheektowaga-Olean, NY",N,N,3623,36148,36057,2021-2022,,
3.60002E+11,3600015,ALLEGANY-LIMESTONE MIDDLE-HIGH SCHOOL,36,3131 FIVE MILE RD,ALLEGANY,NY,14706,36,36009,Cattaraugus County,41,42.132035,-78.504158,36460,"Olean, NY",2,160,"Buffalo-Cheektowaga-Olean, NY",N,N,3623,36148,36057,2021-2022,,
3.60002E+11,3600016,ALGONQUIN MIDDLE SCHOOL,36,333 NY RT 351,AVERILL PARK,NY,12018,36,36083,Rensselaer County,41,42.663607,-73.58222,10580,"Albany-Schenectady-Troy, NY",1,104,"Albany-Schenectady, NY",N,N,3619,36107,36043,2021-2022,,
3.60002E+11,3600016,AVERILL PARK HIGH SCHOOL,36,146 GETTLE RD,AVERILL PARK,NY,12018,36,36083,Rensselaer County,41,42.644669,-73.572643,10580,"Albany-Schenectady-Troy, NY",1,104,"Albany-Schenectady, NY",N,N,3619,36107,36043,2021-2022,,
3.60002E+11,3600016,POESTENKILL ELEMENTARY SCHOOL,36,1 SCHOOL RD,POESTENKILL,NY,12140,36,36083,Rensselaer County,41,42.690038,-73.569759,10580,"Albany-Schenectady-Troy, NY",1,104,"Albany-Schenectady, NY",N,N,3619,36107,36043,2021-2022,,
3.60002E+11,3600016,MILLER HILL SCHOOL,36,8439 MILLER HILL RD,AVERILL PARK,NY,12018,36,36083,Rensselaer County,41,42.638276,-73.54347,10580,"Albany-Schenectady-Troy, NY",1,104,"Albany-Schenectady, NY",N,N,3619,36107,36043,2021-2022,,
3.60002E+11,3600016,WEST SAND LAKE ELEMENTARY SCHOOL,36,24 MEELER RD,WEST SAND LAKE,NY,12196,36,36083,Rensselaer County,41,42.641522,-73.608986,10580,"Albany-Schenectady-Troy, NY",1,104,"Albany-Schenectady, NY",N,N,3619,36107,36043,2021-2022,,
3.60002E+11,3600017,GENESEE VALLEY CENTRAL SCHOOL,36,1 JAGUAR DR,BELMONT,NY,14813,36,36003,Allegany County,42,42.2335,-78.0321,N,N,0,N,N,N,N,3623,36148,36057,2021-2022,,
3.60002E+11,3600017,ALLEGANY CO SHERIFF C/O TREASURER,36,COURT HOUSE,BELMONT,NY,14813,36,36003,Allegany County,42,42.224874,-78.033208,N,N,0,N,N,N,N,3623,36148,36057,2021-2022,,
3.60002E+11,3600018,CHAUTAUQUA LAKE SECONDARY SCHOOL,36,100 N ERIE ST,MAYVILLE,NY,14757,36,36013,Chautauqua County,42,42.2577,-79.5142,27460,"Jamestown-Dunkirk-Fredonia, NY",2,N,N,N,N,3623,36150,36057,2021-2022,,
3.60002E+11,3600018,CHAUTAUQUA LAKE ELEMENTARY SCHOOL,36,100 N ERIE ST,MAYVILLE,NY,14757,36,36013,Chautauqua County,42,42.2581,-79.5147,27460,"Jamestown-Dunkirk-Fredonia, NY",2,N,N,N,N,3623,36150,36057,2021-2022,,
