ENTITY_CD,SCHOOL_NAME,YEAR,DISTRICT_CD,DISTRICT_NAME,CSO_NAME,STREET,CITY,PHONE,GRADE_RANGE,NUM_TEACH,NUM_NO_VALID_CERT,PER_NO_VALID_CERT,NUM_TEACH_OUT_CERT,PER_TEACH_OUT_CERT,NUM_FEWER_3YRS_EXP,PER_FEWER_3YRS_EXP,NUM_MAS_PLUS,PER_MAS_PLUS,NUM_CORE,PER_NOT_HQ,NUM_CLASS,NUM_NO_APPROP_CERT,PER_NO_APPROP_CERT,PER_TURN_FIVE_YRS,PER_TURN_ALL,NUM_FT_OTH_PROF_STAFF,NUM_PT_OTH_PROF_STAFF,NUM_FT_PARAPROFESSIONALS,NUM_PT_PARAPROFESSIONALS,NUM_FT_ASST_PRINCIPALS,NUM_PT_ASST_PRINCIPALS,NUM_FT_PRINCIPALS,NUM_PT_PRINCIPALS
010100010000,ALBANY CITY SCHOOL DISTRICT,2009,01010001,ALBANY CITY SD,EVA JOSEPH,ACADEMY PARK,ALBANY,5184756010,"PK-12, UE",767,8,1,17,2,40,5,96,13,1913,3,2522,75,3,18,13,134,0,251,0,15,0,18,0
010100010000,ALBANY CITY SCHOOL DISTRICT,2010,01010001,ALBANY CITY SD,RAYMOND COLUCCIELLO,ACADEMY PARK,ALBANY,5184756010,"PK-12, UE",737,1,0,5,1,23,3,97,13,1600,0,2320,26,1,25,13,106,0,216,0,11,0,17,0
010100010000,ALBANY CITY SCHOOL DISTRICT,2011,01010001,ALBANY CITY SD,RAYMOND COLUCCIELLO,ACADEMY PARK,ALBANY,5184756010,"PK-12, UE, US",692,0,0,2,0,14,2,88,13,1483,0,2131,13,1,22,16,140,0,201,0,9,0,17,0
010100010014,MONTESSORI MAGNET SCHOOL,2009,01010001,ALBANY CITY SD,KEN LEIN,65 TREMONT ST,ALBANY,5184756675,PK-5,19,0,0,0,0,1,5,3,16,22,0,33,0,0,0,25,2,0,0,0,0,0,1,0
010100010014,MONTESSORI MAGNET SCHOOL,2010,01010001,ALBANY CITY SD,KEN LEIN,65 TREMONT ST,ALBANY,5184756675,PK-5,20,0,0,0,0,1,5,4,20,23,0,34,0,0,50,11,1,0,0,0,0,0,1,0
010100010014,MONTESSORI MAGNET SCHOOL,2011,01010001,ALBANY CITY SD,KEN LEIN,65 TREMONT ST,ALBANY,5184756675,PK-5,19,0,0,0,0,2,11,5,26,19,0,30,0,0,50,15,0,0,0,0,0,0,1,1
010100010016,PINE HILLS ELEMENTARY SCHOOL,2009,01010001,ALBANY CITY SD,VIBETTA SANDERS,41 N ALLEN ST,ALBANY,5184756725,PK-5,32,0,0,0,0,2,6,2,6,35,0,50,2,4,0,3,4,0,0,0,0,0,1,0
010100010016,PINE HILLS ELEMENTARY SCHOOL,2010,01010001,ALBANY CITY SD,VIBETTA SANDERS,41 N ALLEN ST,ALBANY,5184756725,PK-6,31,0,0,0,0,2,6,2,6,27,0,49,0,0,20,13,5,0,0,0,0,0,1,0
010100010016,PINE HILLS ELEMENTARY SCHOOL,2011,01010001,ALBANY CITY SD,VIBETTA SANDERS,41 N ALLEN ST,ALBANY,5184756725,PK-6,29,0,0,0,0,2,7,2,7,25,0,47,0,0,40,16,6,3,0,0,0,0,1,0
010100010018,DELAWARE COMMUNITY SCHOOL,2009,01010001,ALBANY CITY SD,GARY BEADNELL,43 BERTHA ST,ALBANY,5184756750,PK-5,31,0,0,0,0,2,6,7,23,38,0,47,0,0,0,7,0,4,0,0,0,0,1,0
